1-023R	火	ブリュンヒルデ	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-023R.png				"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-024C	火	魔人	1	FINAL FANTASY III (NINTENDO-DS)	FINAL FANTASY III	ff3	opus1/1-024C.png				"&copy;1990,2006 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: Akihiko Yoshida"
1-025C	火	見習い戦士	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-025C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-026C	火	見習い戦士	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-026C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-027H	火	ラァン	1	WORLD OF FINAL FANTASY	WORLD OF FINAL FANTASY	woff	opus1/1-027H.png			opus1/fire.html	"&copy; SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN:TETSUYA NOMURA/YASUHISA IZUMISAWA"
1-028R	火	レェン	1	WORLD OF FINAL FANTASY	WORLD OF FINAL FANTASY	woff	opus1/1-028R.png				"&copy; SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN:TETSUYA NOMURA/YASUHISA IZUMISAWA"
1-029C	火	レッドXIII	1	FINAL FANTASY VII	FINAL FANTASY VII	ff7	opus1/1-029C.png				"&copy;1997,2008 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-030R	火	レブロ	1	FINAL FANTASY XIII	FINAL FANTASY XIII	ff13	opus1/1-030R.png				"&copy; 2009, 2010, 2014 SQUARE ENIX CO., LTD. All Rights Reserved.
CHARACTER DESIGN: TETSUYA NOMURA"
1-031C	氷	アイテム士	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-031C.png				&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
1-032C	氷	アイテム士	1	FINAL FANTASY TACTICS	FINAL FANTASY TACTICS	fft	opus1/1-032C.png			opus1/ice.html	&copy;1997 SQUARE ENIX CO., LTD. All Rights Reserved.
